,Found_Address,Found_Zip_Code,clean_found_address,found_geocode,found_lat,found_long
12,Berlin St.,54981,Berlin St.  54981,"Berlin Street, Waupaca, Town of Waupaca, Waupaca County, Wisconsin, 54981, United States",44.345937,-89.080899
13,Lake St,54981,Lake St  54981,"Lake Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.352524,-89.0790082
14,Near Fleet Farm,54904,Near Fleet Farm  54904,"Fleet Farm, North Washburn Street, Oshkosh, Winnebago County, Wisconsin, 54904, United States",44.0199262,-88.5842190130185
15,604 Lake St,54981,604 Lake St  54981,"604, Lake Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35245687878788,-89.07666900000001
49,421 Van St,54981,421 Van St  54981,"421, Van Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35424189619437,-89.07808211934855
68,955 w Fulton,54981,955 w Fulton  54981,"Pick 'n Save, 955, West Fulton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35604360000001,-89.10723181060278
72,Park St & 7th St,54981,Park St & 7th St  54981,"7th Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.348856,-89.078143
92,226 w. Fulton,54981,226 w. Fulton  54981,"226, West Fulton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35802153108577,-89.08656957015265
111,732 E Fulton,54981,732 E Fulton  54981,"732, East Fulton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35776570097685,-89.07638042929709
113,N Oborn St,54981,N Oborn St  54981,"Oborn Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3589913,-89.0747417
146,315 N Main St,54981,315 N Main St  54981,"315, North Main Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35990557142857,-89.08505057142858
160,704 Ware St,54981,704 Ware St  54981,"Ware Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3590185,-89.0668744
161,502 Waupaca St,54981,502 Waupaca St  54981,"502, Waupaca Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35954173584361,-89.07864186777742
163,Jefferson St,54981,Jefferson St  54981,"Jefferson Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3551978,-89.0836725
166,312 s. Western Ave,54981,312 s. Western Ave  54981,"312, South Western Avenue, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35212030005224,-89.10369578123493
170,614 School St,54981,614 School St  54981,"614, School Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35426555555556,-89.07882922222223
171,School St/E Lake St,54981,School St/E Lake St  54981,"School Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3534455,-89.0775357
182,301 Oak St,54981,301 Oak St  54981,"Oak Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.360021,-89.077237
183,301 Oak St,54981,301 Oak St  54981,"Oak Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.360021,-89.077237
186,600 Oak St,54981,600 Oak St  54981,"600, Oak Street, Waupaca, Town of Waupaca, Waupaca County, Wisconsin, 54981, United States",44.36317888957501,-89.0774152354929
195,105 Crestview Dr,54981,105 Crestview Dr  54981,"105, Crestview Lane, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.367581141109476,-89.08604539389472
196,Royalton St.,54981,Royalton St.  54981,"Royalton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3514145,-89.0719016
197,Royalton St.,54981,Royalton St.  54981,"Royalton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3514145,-89.0719016
198,Royalton St.,54981,Royalton St.  54981,"Royalton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3514145,-89.0719016
215,808 S. Washington St.,54981,808 S. Washington St.  54981,"South Washington Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.353932,-89.086149
232,Royalton St,54981,Royalton St  54981,"Royalton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3514145,-89.0719016
233,Royalton St,54981,Royalton St  54981,"Royalton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3514145,-89.0719016
238,615 S Main St,54981,615 S Main St  54981,"615, South Main Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.351660681990644,-89.08505694554786
239,Behind Hardees,54981,Behind Hardees  54981,"Hardee's, West Fulton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.358154049999996,-89.09680538806755
240,326 w union st,54981,326 w union st  54981,"326, West Union Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35713872026547,-89.08822189520588
273,Grand Seasons Drive,54981,Grand Seasons Drive  54981,"Grand Seasons Drive, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.356309,-89.118414
335,913 Berlin St,54981,913 Berlin St  54981,"913, Berlin Street, Waupaca, Town of Waupaca, Waupaca County, Wisconsin, 54981, United States",44.34770481632653,-89.08061234693878
349,N. Franklin St.,54981,N. Franklin St.  54981,"North Franklin Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.362113,-89.087403
350,N. Franklin St.,54981,N. Franklin St.  54981,"North Franklin Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.362113,-89.087403
351,N. Franklin St.,54981,N. Franklin St.  54981,"North Franklin Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.362113,-89.087403
352,N. Franklin St.,54981,N. Franklin St.  54981,"North Franklin Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.362113,-89.087403
397,1407 Berlin St,54981,1407 Berlin St  54981,"1407, Berlin Street, Waupaca, Town of Waupaca, Waupaca County, Wisconsin, 54981, United States",44.341151669016504,-89.07975915188572
398,1402 Royalton St,54981,1402 Royalton St  54981,"Waupaca County Law Enforcement Center, 1402, Royalton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3508625,-89.0665175
424,Park ave,54981,Park ave  54981,"Park Avenue, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.346492,-89.076416
438,802 8th st,54981,802 8th st  54981,"802, 8th Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.34930966666667,-89.07653955555556
444,404 S. Main St,54981,404 S. Main St  54981,"404, South Main Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35407383333334,-89.08498183333333
445,W. Fulton St.,54981,W. Fulton St.  54981,"West Fulton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.356045,-89.11787
461,610 berlin st,54981,610 berlin st  54981,"610, Berlin Street, Waupaca, Town of Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35196474385971,-89.0804493919524
462,609 E Fulton,54981,609 E Fulton  54981,"609, East Fulton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.357921494685975,-89.07498752753337
479,1020 covered bridge rd,54981,1020 covered bridge rd  54981,"1020, Covered Bridge Road, Waupaca, Town of Farmington, Waupaca County, Wisconsin, 54981, United States",44.35766780203802,-89.10823485863415
494,N Harrison St,54981,N Harrison St  54981,"North Harrison Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3579405,-89.092648
495,206 W Main St,54983,206 W Main St  54983,"206, West Main Street, Weyauwega, Waupaca County, Wisconsin, 54983, United States",44.32100031901137,-88.93783821552243
