Animal #,Found_Zip_Code,found_lat,found_long
A44405329,54981,44.345937,-89.080899
A44405329,54981,44.352524,-89.0790082
A44449986,54904,44.0199262,-88.58421901
A44451145,54981,44.35245688,-89.076669
A44486703,54981,-30.346414,28.823161
A44911711,54981,44.3542419,-89.07808212
A44961075,54981,44.3560436,-89.10723181
A45010228,54981,44.348856,-89.078143
A46356326,54981,42.32144921,-71.3962505
A46356334,54981,42.32144921,-71.3962505
A43155429,54981,44.35802153,-89.08656957
A43595760,54981,44.35754576,-89.10193887
A43595760,54981,44.3589913,-89.0747417
A43640255,54981,40.8517518,-79.7852784
A43703260,54981,44.35990557,-89.08505057
A45135589,54981,44.3590185,-89.0668744
A45141634,54981,44.35954174,-89.07864187
A45162543,54981,44.3551978,-89.0836725
A45210565,54981,44.3521203,-89.10369578
A45271148,54981,44.35426556,-89.07882922
A45271148,54981,44.3534455,-89.0775357
A45300064,54981,44.360021,-89.077237
A45304217,54981,44.360021,-89.077237
A45344187,54981,44.36317889,-89.07741524
A45409783,54981,44.36758114,-89.08604539
A45410032,54981,44.3514145,-89.0719016
A45410036,54981,44.3514145,-89.0719016
A45410039,54981,44.3514145,-89.0719016
A45447115,54981,40.23023253,-75.29060115
A45607007,54981,44.353932,-89.086149
A45619252,54981,41.5913461,-83.4350175
A45619274,54981,41.5913461,-83.4350175
A43793332,54981,44.3514145,-89.0719016
A43793347,54981,44.3514145,-89.0719016
A43874837,54981,44.35166068,-89.08505695
A43876258,54981,44.35815405,-89.09680539
A43878780,54981,44.35713872,-89.0882219
A43907626,54981,39.69795245,-104.9028675
A43921940,54981,42.980322,-76.81117103
A43921945,54981,42.980322,-76.81117103
A43959753,54981,32.7282668,-97.8284901
A44026601,54981,44.356309,-89.118414
A45818874,54981,44.34770482,-89.08061235
A45927442,54981,44.362113,-89.087403
A45927453,54981,44.362113,-89.087403
A45927457,54981,44.362113,-89.087403
A45927462,54981,44.362113,-89.087403
A44096877,54981,35.7148574,139.8619093
A44264903,54981,44.34115167,-89.07975915
A44305606,54981,44.3508625,-89.0665175
A44305730,54949,19.4137005,-99.09867612
A44388956,54981,44.346492,-89.076416
A45967175,54981,44.34930967,-89.07653956
A46039316,54981,44.35407383,-89.08498183
A46046699,54981,44.356045,-89.11787
A46135068,54981,44.35196474,-89.08044939
A46147329,54981,44.35792149,-89.07498753
A46197750,54981,44.3576678,-89.10823486
A46247833,54981,44.3579405,-89.092648
A46270818,54983,44.32100032,-88.93783822
A14223455,54981,44.367878,-89.098879
A40150933,54981,44.356045,-89.11787
A40628414,54981,44.3531242,-89.0898343
A41776770,54981,44.344615,-89.095337
A41776791,54981,44.344615,-89.095337
A41803655,54981,44.312728,-89.153077
A41843562,54981,44.35159314,-89.08623816
A41905644,54981,44.360156,-89.084305
A41941675,54981,44.36556878,-89.08634176
A41960453,54981,31.932726,-93.610039
A41995916,54981,44.33231291,-89.1189146
A41998462,54981,29.8151414,-95.7421781
A42062384,54981,44.3646,-89.084261
A42069241,54981,44.35291525,-89.10307438
A42082948,54981,44.3582549,-89.1031605
A43409708,54981,44.36117709,-89.09308485
A43458499,54981,44.362618,-89.160198
A43479828,54981,44.35263715,-89.08477881
A43479834,54981,44.35263715,-89.08477881
A40652044,54981,44.312728,-89.153077
A40802065,54949,44.45086733,-88.92727909
A40820681,54981,44.36297321,-89.09311467
A40874220,54981,44.35235086,-89.0896709
A41033908,54981,44.34772122,-89.07199702
A41043705,54981,44.35166068,-89.08505695
A41062040,54981,44.35166068,-89.08505695
A41073691,54981,44.345937,-89.080899
A42135633,54981,44.3522139,-89.0575759
A42146477,54981,44.356076,-89.08258439
A42210051,54981,44.36317889,-89.07741524
A42346087,54981,-30.3394378,28.8049909
A42366431,54981,44.360156,-89.084305
A42420265,54981,44.36758114,-89.08604539
A42446599,54981,44.3600411,-89.09291515
A42446646,54981,44.35932709,-89.08952809
A42447735,54983,50.6235375,16.2670673
A42447737,54983,50.6235375,16.2670673
A42447741,54983,50.6235375,16.2670673
A42563832,54981,44.35991757,-89.07603688
A42565914,54981,44.35743685,-89.11312572
A42601770,54981,44.352658,-89.081009
A42649924,54981,32.7282668,-97.8284901
A42672544,54981,44.35815706,-89.08124934
A42672551,54981,44.35815706,-89.08124934
A42672560,54981,44.35815706,-89.08124934
A42672568,54981,44.35815706,-89.08124934
A42674417,54981,44.3482615,-89.08547265
A42680258,54981,32.7282668,-97.8284901
A42718330,54981,44.34674047,-89.07528122
A42771198,54961,44.1977554,-89.2178948
A42788915,54981,44.35901691,-89.08253911
A42833351,54981,44.35593334,-89.08636257
A42847738,54981,44.35701237,-89.08274943
A42855841,54981,44.35407383,-89.08498183
A42855850,54981,44.35407383,-89.08498183
A42862234,54981,44.356116,-89.118263
A42905524,54981,46.6356157,-123.2216871
A42999752,54981,44.35483409,-89.07906179
A43003855,54983,44.320653,-88.921239
A41073691,54981,44.3531242,-89.0898343
A41126197,54981,44.35166068,-89.08505695
A41170125,54981,44.344924,-89.067426
A41172071,54981,44.35465157,-89.08266714
A41172075,54981,44.35465157,-89.08266714
A41188133,54981,44.3422472,-89.0747911
A41276028,54981,44.36317889,-89.07741524
A41294754,54983,44.32897359,-88.94929694
A41294763,54983,44.32897359,-88.94929694
A41330577,54981,44.3256219,-89.110396
A41339947,54981,44.35827151,-89.07855982
A41409821,54981,44.34208143,-89.06976584
A41409850,54981,44.34208143,-89.06976584
A41409920,54981,44.34208143,-89.06976584
A41409927,54981,44.34208143,-89.06976584
A41409952,54981,44.34208143,-89.06976584
A41409961,54981,44.34208143,-89.06976584
A41410579,54981,44.35621454,-89.04563863
A41410705,54981,44.36098676,-89.09095016
A41410736,54981,44.35990557,-89.08505057
A41594804,54981,44.36012407,-89.09385309
A43022356,54981,44.360156,-89.084305
A43029120,54981,44.36115053,-89.09076558
A43036308,54981,44.35031071,-89.0740399
A43114332,54981,44.36117709,-89.09308485
A43114420,54981,44.36117709,-89.09308485
A43114434,54981,44.36117709,-89.09308485
A43114447,54981,44.36117709,-89.09308485
A43143585,54981,44.35951908,-89.09500797
A43155429,54981,44.36839054,-89.09562846
A43200391,54981,44.342612,-89.080127
A43206584,54981,44.36317889,-89.07741524
A43273314,54981,44.348282,-89.075183
A43273354,54981,44.34757026,-89.07505971
A43302796,54981,44.3514145,-89.0719016
A38548723,54981,44.36228933,-89.09060284
A38548723,54981,44.360147,-89.088948
A38551334,54981,36.0882422,-115.16149
A38566001,54981,44.3482615,-89.08547265
A38628581,54981,44.311998,-89.160258
A38779159,54981,44.36098676,-89.09095016
A38783586,54981,44.36280793,-89.0931884
A38803715,54981,44.36280793,-89.0931884
A38803719,54981,44.36280793,-89.0931884
A38803735,54981,44.36280793,-89.0931884
A38830153,54981,44.36280793,-89.0931884
A38919491,54981,50.6258903,16.2401769
A39738573,54981,44.360021,-89.077237
A39744464,54981,44.35690705,-89.11224321
A39772901,54981,44.35485272,-89.09295486
A39794811,54981,44.360156,-89.084305
A39802898,54981,44.3560436,-89.10723181
A39809408,54981,44.35485272,-89.09295486
A39853991,54981,44.35608015,-89.1001667
A39890295,54981,44.35594,-89.07482807
A39955341,54981,44.35792137,-89.0749649
A39972240,54981,44.36964,-89.098324
A39972244,54981,44.36964,-89.098324
A36718457,54983,44.3181119,-88.9341154
A40006280,54981,44.3539512,-89.103185
A40034460,54981,39.75849975,-75.01798899
A40089884,54981,32.7282668,-97.8284901
A40138748,54983,44.319012,-88.93992277
A40194174,54981,44.353932,-89.086149
A40194880,nan,37.05080388,-76.50281604
A40233189,54981,44.36117709,-89.09308485
A37748603,54983,44.6802839,-63.5899976
A37748622,54983,44.6802839,-63.5899976
A37800696,54981,44.36117709,-89.09308485
A37856460,54981,48.1451904,11.59270031
A37917209,54981,44.360021,-89.077237
A37920980,54981,35.045555,-101.91468
A37945206,54981,44.3482615,-89.08547265
A37955355,54981,44.319449,-89.0977594
A37961666,54981,44.35829194,-89.09458946
A38050022,54981,52.1047041,-122.0342408
A38083080,54983,44.32064,-88.927951
A38090083,54981,44.341044,-89.102174
A38096985,54981,44.35957082,-89.08130867
A38117262,54983,44.31974,-88.9299463
A38169686,54981,44.3482615,-89.08547265
A38943735,54983,44.316348,-88.9307435
A38982417,54981,50.6258903,16.2401769
A39071705,54981,44.357362,-89.081034
A39125641,54981,44.36023169,-89.08916146
A39142822,54981,44.36117709,-89.09308485
A39165290,54981,44.35700251,-89.08391184
A39167508,54981,44.312728,-89.153077
A39178470,54983,44.318188,-88.94098228
A39190214,54981,44.312728,-89.153077
A39254202,54981,33.9279049,-84.3564917
A39254212,54981,33.9279049,-84.3564917
A39292020,54983,44.3173564,-88.93439902
A39292028,54983,44.3173564,-88.93439902
A39292041,54983,44.3173564,-88.93439902
A39307731,54981,44.3539512,-89.103185
A39332293,54981,44.36211086,-89.08964648
A39358144,54981,44.356045,-89.11787
A39417449,54981,44.35348042,-89.08001753
A39436765,54981,44.361116,-89.087574
A40361405,54981,25.2848564,110.328752
A40435511,54981,44.3578051,-89.10823851
A38203327,54981,44.35155811,-89.08026278
A38249920,54981,44.357078,-89.084893
A38409573,54945,30.6937815,-88.18044788
A38463042,54981,44.360021,-89.077237
A39490655,54962,44.35743685,-89.11312572
A39551333,54981,44.35827151,-89.07855982
A39616601,54981,44.35344559,-89.07909524
A39671901,54981,44.360021,-89.077237
A39677423,54981,44.35827151,-89.07855982